electionrecordid,raceorder,votes,reported,race,candidate,party,town,precinct,r_d,r_g,r_r,r_u,pct_d,pct_r,pct_u
451,111,0,0,Question 2: Education Tax,Yes,,Gouldsboro,Gouldsboro,369,81,515,541,0.25,0.34,0.36
452,111,0,0,Question 2: Education Tax,Yes,,Great Pond,Great Pond,9,0,16,14,0.23,0.41,0.36
453,111,0,0,Question 2: Education Tax,Yes,,Hancock,Hancock,407,62,676,582,0.24,0.39,0.34
454,111,0,0,Question 2: Education Tax,Yes,,Lamoine,Lamoine,374,63,535,458,0.26,0.37,0.32
455,111,0,0,Question 2: Education Tax,Yes,,Mariaville,Mariaville,76,18,113,148,0.21,0.32,0.42
456,111,0,0,Question 2: Education Tax,Yes,,Mount Desert,Mount Desert,637,66,494,615,0.35,0.27,0.34
457,111,0,0,Question 2: Education Tax,Yes,,Orland,Orland,446,72,415,648,0.28,0.26,0.41
458,111,0,0,Question 2: Education Tax,Yes,,Osborn,Osborn,9,1,33,8,0.18,0.65,0.16
459,111,0,0,Question 2: Education Tax,Yes,,Otis,Otis,131,29,218,193,0.23,0.38,0.34
460,111,0,0,Question 2: Education Tax,Yes,,Penobscot,Penobscot,286,52,297,367,0.29,0.3,0.37
461,111,0,0,Question 2: Education Tax,Yes,,Sedgwick,Sedgwick,342,57,238,336,0.35,0.24,0.35
462,111,0,0,Question 2: Education Tax,Yes,,Sorrento,Sorrento,86,8,94,77,0.32,0.35,0.29
463,111,0,0,Question 2: Education Tax,Yes,,Southwest Harbor,Southwest Harbor,468,69,383,590,0.31,0.25,0.39
464,111,0,0,Question 2: Education Tax,Yes,,Stonington,Stonington,285,37,169,410,0.32,0.19,0.46
465,111,0,0,Question 2: Education Tax,Yes,,Sullivan,Sullivan,208,56,258,349,0.24,0.3,0.4
466,111,0,0,Question 2: Education Tax,Yes,,Surry,Surry,378,64,433,368,0.3,0.35,0.3
467,111,0,0,Question 2: Education Tax,Yes,,Swans Island,Swans Island,64,19,115,118,0.2,0.36,0.37
468,111,0,0,Question 2: Education Tax,Yes,,Tremont,Tremont,64,19,115,118,0.2,0.36,0.37
469,111,0,0,Question 2: Education Tax,Yes,,Trenton,Trenton,290,55,359,419,0.26,0.32,0.37
470,111,0,0,Question 2: Education Tax,Yes,,Verona Island,Verona Island,136,14,141,134,0.32,0.33,0.32
471,111,0,0,Question 2: Education Tax,Yes,,Waltham,Waltham,45,7,139,71,0.17,0.53,0.27
472,111,0,0,Question 2: Education Tax,Yes,,Winter Harbor,Winter Harbor,96,14,171,149,0.22,0.4,0.35
473,111,0,0,Question 2: Education Tax,No,,Amherst,Amherst,52,9,73,66,0.26,0.37,0.33
474,111,0,0,Question 2: Education Tax,No,,Aurora,Aurora,15,2,38,22,0.19,0.49,0.29
475,111,0,0,Question 2: Education Tax,No,,Bar Harbor,Bar Harbor,1654,172,859,1420,0.4,0.21,0.35
476,111,0,0,Question 2: Education Tax,No,,Blue Hill,Blue Hill,902,81,624,676,0.4,0.27,0.3
477,111,0,0,Question 2: Education Tax,No,,Brooklin,Brooklin,257,45,191,248,0.35,0.26,0.33
478,111,0,0,Question 2: Education Tax,No,,Brooksville,Brooksville,291,45,220,241,0.37,0.28,0.3
479,111,0,0,Question 2: Education Tax,No,,Bucksport,Bucksport,1047,71,1103,1531,0.28,0.29,0.41
480,111,0,0,Question 2: Education Tax,No,,Castine,Castine,307,48,316,375,0.29,0.3,0.36
481,111,0,0,Question 2: Education Tax,No,,Cranberry Isles,Cranberry Isles,70,5,42,77,0.36,0.22,0.4
482,111,0,0,Question 2: Education Tax,No,,Dedham,Dedham,324,41,450,506,0.25,0.34,0.38
483,111,0,0,Question 2: Education Tax,No,,Deer Isle,Deer Isle,574,62,416,644,0.34,0.25,0.38
484,111,0,0,Question 2: Education Tax,No,,Eastbrook,Eastbrook,73,10,124,112,0.23,0.39,0.35
485,111,0,0,Question 2: Education Tax,No,,Ellsworth,Ellsworth,1377,196,2075,1840,0.25,0.38,0.34
486,111,0,0,Question 2: Education Tax,No,,Gouldsboro,Gouldsboro,369,81,515,541,0.25,0.34,0.36
487,111,0,0,Question 2: Education Tax,No,,Great Pond,Great Pond,9,0,16,14,0.23,0.41,0.36
488,111,0,0,Question 2: Education Tax,No,,Hancock,Hancock,407,62,676,582,0.24,0.39,0.34
489,111,0,0,Question 2: Education Tax,No,,Lamoine,Lamoine,374,63,535,458,0.26,0.37,0.32
490,111,0,0,Question 2: Education Tax,No,,Mariaville,Mariaville,76,18,113,148,0.21,0.32,0.42
491,111,0,0,Question 2: Education Tax,No,,Mount Desert,Mount Desert,637,66,494,615,0.35,0.27,0.34
492,111,0,0,Question 2: Education Tax,No,,Orland,Orland,446,72,415,648,0.28,0.26,0.41
493,111,0,0,Question 2: Education Tax,No,,Osborn,Osborn,9,1,33,8,0.18,0.65,0.16
494,111,0,0,Question 2: Education Tax,No,,Otis,Otis,131,29,218,193,0.23,0.38,0.34
495,111,0,0,Question 2: Education Tax,No,,Penobscot,Penobscot,286,52,297,367,0.29,0.3,0.37
496,111,0,0,Question 2: Education Tax,No,,Sedgwick,Sedgwick,342,57,238,336,0.35,0.24,0.35
497,111,0,0,Question 2: Education Tax,No,,Sorrento,Sorrento,86,8,94,77,0.32,0.35,0.29
498,111,0,0,Question 2: Education Tax,No,,Southwest Harbor,Southwest Harbor,468,69,383,590,0.31,0.25,0.39
499,111,0,0,Question 2: Education Tax,No,,Stonington,Stonington,285,37,169,410,0.32,0.19,0.46
500,111,0,0,Question 2: Education Tax,No,,Sullivan,Sullivan,208,56,258,349,0.24,0.3,0.4
501,111,0,0,Question 2: Education Tax,No,,Surry,Surry,378,64,433,368,0.3,0.35,0.3
502,111,0,0,Question 2: Education Tax,No,,Swans Island,Swans Island,64,19,115,118,0.2,0.36,0.37
503,111,0,0,Question 2: Education Tax,No,,Tremont,Tremont,64,19,115,118,0.2,0.36,0.37
504,111,0,0,Question 2: Education Tax,No,,Trenton,Trenton,290,55,359,419,0.26,0.32,0.37
505,111,0,0,Question 2: Education Tax,No,,Verona Island,Verona Island,136,14,141,134,0.32,0.33,0.32
506,111,0,0,Question 2: Education Tax,No,,Waltham,Waltham,45,7,139,71,0.17,0.53,0.27
507,111,0,0,Question 2: Education Tax,No,,Winter Harbor,Winter Harbor,96,14,171,149,0.22,0.4,0.35
508,112,0,0,Question 3: Universal Background Checks,Yes,,Amherst,Amherst,52,9,73,66,0.26,0.37,0.33
509,112,0,0,Question 3: Universal Background Checks,Yes,,Aurora,Aurora,15,2,38,22,0.19,0.49,0.29
510,112,0,0,Question 3: Universal Background Checks,Yes,,Bar Harbor,Bar Harbor,1654,172,859,1420,0.4,0.21,0.35
511,112,0,0,Question 3: Universal Background Checks,Yes,,Blue Hill,Blue Hill,902,81,624,676,0.4,0.27,0.3
512,112,0,0,Question 3: Universal Background Checks,Yes,,Brooklin,Brooklin,257,45,191,248,0.35,0.26,0.33
513,112,0,0,Question 3: Universal Background Checks,Yes,,Brooksville,Brooksville,291,45,220,241,0.37,0.28,0.3
514,112,0,0,Question 3: Universal Background Checks,Yes,,Bucksport,Bucksport,1047,71,1103,1531,0.28,0.29,0.41
515,112,0,0,Question 3: Universal Background Checks,Yes,,Castine,Castine,307,48,316,375,0.29,0.3,0.36
516,112,0,0,Question 3: Universal Background Checks,Yes,,Cranberry Isles,Cranberry Isles,70,5,42,77,0.36,0.22,0.4
517,112,0,0,Question 3: Universal Background Checks,Yes,,Dedham,Dedham,324,41,450,506,0.25,0.34,0.38
518,112,0,0,Question 3: Universal Background Checks,Yes,,Deer Isle,Deer Isle,574,62,416,644,0.34,0.25,0.38
519,112,0,0,Question 3: Universal Background Checks,Yes,,Eastbrook,Eastbrook,73,10,124,112,0.23,0.39,0.35
520,112,0,0,Question 3: Universal Background Checks,Yes,,Ellsworth,Ellsworth,1377,196,2075,1840,0.25,0.38,0.34
522,112,0,0,Question 3: Universal Background Checks,Yes,,Franklin,Franklin,249,49,375,340,0.25,0.37,0.34
523,112,0,0,Question 3: Universal Background Checks,Yes,,Frenchboro,Frenchboro,12,4,9,17,0.29,0.21,0.4
524,112,0,0,Question 3: Universal Background Checks,Yes,,Gouldsboro,Gouldsboro,369,81,515,541,0.25,0.34,0.36
525,112,0,0,Question 3: Universal Background Checks,Yes,,Great Pond,Great Pond,9,0,16,14,0.23,0.41,0.36
526,112,0,0,Question 3: Universal Background Checks,Yes,,Hancock,Hancock,407,62,676,582,0.24,0.39,0.34
527,112,0,0,Question 3: Universal Background Checks,Yes,,Lamoine,Lamoine,374,63,535,458,0.26,0.37,0.32
528,112,0,0,Question 3: Universal Background Checks,Yes,,Mariaville,Mariaville,76,18,113,148,0.21,0.32,0.42
529,112,0,0,Question 3: Universal Background Checks,Yes,,Mount Desert,Mount Desert,637,66,494,615,0.35,0.27,0.34
530,112,0,0,Question 3: Universal Background Checks,Yes,,Orland,Orland,446,72,415,648,0.28,0.26,0.41
531,112,0,0,Question 3: Universal Background Checks,Yes,,Osborn,Osborn,9,1,33,8,0.18,0.65,0.16
532,112,0,0,Question 3: Universal Background Checks,Yes,,Otis,Otis,131,29,218,193,0.23,0.38,0.34
533,112,0,0,Question 3: Universal Background Checks,Yes,,Penobscot,Penobscot,286,52,297,367,0.29,0.3,0.37
534,112,0,0,Question 3: Universal Background Checks,Yes,,Sedgwick,Sedgwick,342,57,238,336,0.35,0.24,0.35
535,112,0,0,Question 3: Universal Background Checks,Yes,,Sorrento,Sorrento,86,8,94,77,0.32,0.35,0.29
536,112,0,0,Question 3: Universal Background Checks,Yes,,Southwest Harbor,Southwest Harbor,468,69,383,590,0.31,0.25,0.39
537,112,0,0,Question 3: Universal Background Checks,Yes,,Stonington,Stonington,285,37,169,410,0.32,0.19,0.46
538,112,0,0,Question 3: Universal Background Checks,Yes,,Sullivan,Sullivan,208,56,258,349,0.24,0.3,0.4
539,112,0,0,Question 3: Universal Background Checks,Yes,,Surry,Surry,378,64,433,368,0.3,0.35,0.3
540,112,0,0,Question 3: Universal Background Checks,Yes,,Swans Island,Swans Island,64,19,115,118,0.2,0.36,0.37
541,112,0,0,Question 3: Universal Background Checks,Yes,,Tremont,Tremont,64,19,115,118,0.2,0.36,0.37
542,112,0,0,Question 3: Universal Background Checks,Yes,,Trenton,Trenton,290,55,359,419,0.26,0.32,0.37
543,112,0,0,Question 3: Universal Background Checks,Yes,,Verona Island,Verona Island,136,14,141,134,0.32,0.33,0.32
544,112,0,0,Question 3: Universal Background Checks,Yes,,Waltham,Waltham,45,7,139,71,0.17,0.53,0.27
545,112,0,0,Question 3: Universal Background Checks,Yes,,Winter Harbor,Winter Harbor,96,14,171,149,0.22,0.4,0.35
546,112,0,0,Question 3: Universal Background Checks,No,,Amherst,Amherst,52,9,73,66,0.26,0.37,0.33
