electionrecordid,raceorder,votes,reported,race,candidate,town,party,precinct,r_d,r_g,r_r,r_u,pct_d,pct_r,pct_u
,,,,County Commissioner District 1 (D),Susan E. Walsh,Blue Hill,D,Blue Hill,902,81,624,676,0.4,0.27,0.3
,,,,County Commissioner District 1 (D),Susan E. Walsh,Eastbrook,D,Eastbrook,73,10,124,112,0.23,0.39,0.35
,,,,County Commissioner District 1 (D),Susan E. Walsh,Ellsworth,D,Ellsworth,1377,196,2075,1840,0.25,0.38,0.34
,,,,County Commissioner District 1 (D),Susan E. Walsh,Gouldsboro,D,Gouldsboro,369,81,515,541,0.25,0.34,0.36
,,,,County Commissioner District 1 (D),Susan E. Walsh,Great Pond,D,Great Pond,9,0,16,14,0.23,0.41,0.36
,,,,County Commissioner District 1 (D),Susan E. Walsh,Mariaville,D,Mariaville,76,18,113,148,0.21,0.32,0.42
,,,,County Commissioner District 1 (D),Susan E. Walsh,Osborn,D,Osborn,9,1,33,8,0.18,0.65,0.16
,,,,County Commissioner District 1 (D),Susan E. Walsh,Otis,D,Otis,131,29,218,193,0.23,0.38,0.34
,,,,County Commissioner District 1 (D),Susan E. Walsh,Sorrento,D,Sorrento,86,8,94,77,0.32,0.35,0.29
,,,,County Commissioner District 1 (D),Susan E. Walsh,Sullivan,D,Sullivan,208,56,258,349,0.24,0.3,0.4
,,,,County Commissioner District 1 (D),Susan E. Walsh,Surry,D,Surry,378,64,433,368,0.3,0.35,0.3
,,,,County Commissioner District 1 (D),Susan E. Walsh,Waltham,D,Waltham,45,7,139,71,0.17,0.53,0.27
,,,,County Commissioner District 1 (D),Susan E. Walsh,Winter Harbor,D,Winter Harbor,96,14,171,149,0.22,0.4,0.35
,,,,Legislature District 137 (D),Laurie W. Fogelman,Amherst,D,Amherst,52,9,73,66,0.26,0.37,0.33
,,,,Legislature District 137 (D),Laurie W. Fogelman,Aurora,D,Aurora,15,2,38,22,0.19,0.49,0.29
,,,,Legislature District 137 (D),Laurie W. Fogelman,Eastbrook,D,Eastbrook,73,10,124,112,0.23,0.39,0.35
,,,,Legislature District 137 (D),Laurie W. Fogelman,Franklin,D,Franklin,249,49,375,340,0.25,0.37,0.34
,,,,Legislature District 137 (D),Laurie W. Fogelman,Great Pond,D,Great Pond,9,0,16,14,0.23,0.41,0.36
,,,,Congress District 2 (R),Bruce Poliquin,Amherst,R,Amherst,52,9,73,66,0.26,0.37,0.33
,,,,Congress District 2 (R),Bruce Poliquin,Aurora,R,Aurora,15,2,38,22,0.19,0.49,0.29
,,,,Congress District 2 (R),Bruce Poliquin,Bar Harbor,R,Bar Harbor,1654,172,859,1420,0.4,0.21,0.35
,,,,Congress District 2 (R),Bruce Poliquin,Blue Hill,R,Blue Hill,902,81,624,676,0.4,0.27,0.3
,,,,Congress District 2 (R),Bruce Poliquin,Brooklin,R,Brooklin,257,45,191,248,0.35,0.26,0.33
,,,,Congress District 2 (R),Bruce Poliquin,Brooksville,R,Brooksville,291,45,220,241,0.37,0.28,0.3
,,,,Congress District 2 (R),Bruce Poliquin,Bucksport,R,Bucksport,1047,71,1103,1531,0.28,0.29,0.41
,,,,Congress District 2 (R),Bruce Poliquin,Castine,R,Castine,307,48,316,375,0.29,0.3,0.36
,,,,Congress District 2 (R),Bruce Poliquin,Cranberry Isles,R,Cranberry Isles,70,5,42,77,0.36,0.22,0.4
,,,,Congress District 2 (R),Bruce Poliquin,Dedham,R,Dedham,324,41,450,506,0.25,0.34,0.38
,,,,Congress District 2 (R),Bruce Poliquin,Deer Isle,R,Deer Isle,574,62,416,644,0.34,0.25,0.38
